Taxon,Vicinity,Tributary/Collection Location,MedianReadCount,SampleSize
P. macrolepidotus,Modoc County,Cowhead Lake,2461487,9
G. orcuttii,Mojave River Drainage,Desert Discovery Pond,2053059,2
alvordensis,Sheldon Wildlife Refuge,Thousand Creek Gorge,7589069,10
thalassinus,Pit River,Big Sage Reservoir,4944824,12
thalassinus,Valley Falls,Honey Creek,2065216,8
thalassinus,Warner Spring,Twenty Mile Slough,1439984,3
bicolor,Catlow Valley,Rock Creek,1136559,3
bicolor,Harney County,Kueny Canyon,3307963,11
bicolor,Modoc County,Cowhead Slough,2964294,12
bicolor,Sheldon Wildlife Refuge,Andy's Place,2348208,15
bicolor,Sheldon Wildlife Refuge,Bitner Ranch,3167076,16
bicolor,Sheldon Wildlife Refuge,Horse Canyon,7898712,4
newarkensis,Newark Valley,NN4,3110134,20
newarkensis,Newark Valley,NV12,5185390,25
isolatus,Independence Valley,Warm Springs,3322395,14
snyderi,Mammoth Mountain,Sotcher Lake,1571551,11
snyderi,Owens River,Cottonwood Pond (White MT Research Center),1787193,21
snyderi,Owens River,Mule Spring,1410489,10
snyderi,Owens River,NE Pond (White Mountain Research Center),2154310,22
snyderi,Owens River,SE Pond (White Mountain Research Center),2307926,2
snyderi,Owens River,SW Pond (White Mountain Research Center),2532879,2
mohavensis,Mojave River,Camp Cady,2230368,16
mohavensis,Mojave River Drainage,Tui Slough,1662314,35
obesus,"Carson River, Carson Desert",Little Soda Lake,2696470,22
obesus,Fish Lake Valley,Lida Pond,2590847,9
obesus,Fish Lake Valley,McNett Ranch,2008366,6
obesus,Hot Creek Valley,Twin Springs Slough,3127174,38
obesus,Humboldt River System,Upper Humboldt River,2920540,25
obesus,Lassen County,Eagle Lake,6658527,20
obesus,Little Fish Lake Valley,Little Fish Lake,1754730,6
obesus,Railroad Valley,Flowing Wells,1647665,15
obesus,Walker Lake,Rose Creek Reservoir,3571471,14
