GVL_Code,SampleName,Vicinity,Tributary/Collection Location
CWP10_55,OWEN_CWPD_2010_055_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_56,OWEN_CWPD_2010_056_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_57,OWEN_CWPD_2010_057_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_58,OWEN_CWPD_2010_058_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_59,OWEN_CWPD_2010_059_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_60,OWEN_CWPD_2010_060_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_61,OWEN_CWPD_2010_061_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_62,OWEN_CWPD_2010_062_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_63,OWEN_CWPD_2010_063_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_64,OWEN_CWPD_2010_064_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_65,OWEN_CWPD_2010_065_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_70,OWEN_CWPD_2010_070_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_71,OWEN_CWPD_2010_071_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_72,OWEN_CWPD_2010_072_J,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_73,OWEN_CWPD_2010_073_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_74,OWEN_CWPD_2010_074_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_75,OWEN_CWPD_2010_075_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_76,OWEN_CWPD_2010_076_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_77,OWEN_CWPD_2010_077_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_78,OWEN_CWPD_2010_078_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_79,OWEN_CWPD_2010_079_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_80,OWEN_CWPD_2010_080_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_81,OWEN_CWPD_2010_081_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_82,OWEN_CWPD_2010_082_K,Owens River,Cottonwood Pond (White MT Research Center)
CWP10_83,OWEN_CWPD_2010_083_K,Owens River,Cottonwood Pond (White MT Research Center)
CVL10_01,OWEN_CONV_2010_001_K,Owens River,Convict Lake
CVL10_02,OWEN_CONV_2010_002_K,Owens River,Convict Lake
CVL10_04,OWEN_CONV_2010_004_K,Owens River,Convict Lake
CVL10_05,OWEN_CONV_2010_005_K,Owens River,Convict Lake
CVL10_06,OWEN_CONV_2010_006_K,Owens River,Convict Lake
CVL10_07,OWEN_CONV_2010_007_K,Owens River,Convict Lake
CVL10_08,OWEN_CONV_2010_008_K,Owens River,Convict Lake
CVL10_09,OWEN_CONV_2010_009_K,Owens River,Convict Lake
CVL10_10,OWEN_CONV_2010_010_K,Owens River,Convict Lake
CVL10_11,OWEN_CONV_2010_011_K,Owens River,Convict Lake
CVL10_12,OWEN_CONV_2010_012_K,Owens River,Convict Lake
CVL10_13,OWEN_CONV_2010_013_K,Owens River,Convict Lake
