t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,genes
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0.0196,0.0131,0.9673,153
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0,0,1,144
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.12,0.0533,0.8267,75
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.1045,0.0448,0.8507,67
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.1447,0.0789,0.7763,76
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.1143,0.0571,0.8286,70
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.069,0.0345,0.8966,58
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.0952,0.1111,0.7937,63
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.029,0,0.971,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.0833,0.1111,0.8056,72
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.0185,0,0.9815,54
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.0746,0.0746,0.8507,67
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.0536,0.0536,0.8929,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.0652,0.0217,0.913,46
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.lahontan,0.1154,0.0385,0.8462,52
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.lahontan,0.0526,0.0351,0.9123,57
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.1159,0.0435,0.8406,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.0508,0.0169,0.9322,59
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.toikona,0.0172,0.0172,0.9655,58
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.toikona,0.0678,0.0508,0.8814,59
alvordensis,bicolor.columbianus,bicolor.eurysomas,P.macrolepidotus,0.0185,0,0.9815,108
alvordensis,bicolor.columbianus,bicolor.eurysomas,P.macrolepidotus,0.0196,0,0.9804,102
alvordensis,bicolor.columbianus,bicolor.eurysomas,Railroad.Valley,0.1875,0.0417,0.7708,48
alvordensis,bicolor.columbianus,bicolor.eurysomas,Railroad.Valley,0.1111,0.0222,0.8667,45
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus,0.1389,0.0278,0.8333,72
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus,0.0676,0.0135,0.9189,74
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus.vaccaceps,0.1346,0.1154,0.75,52
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus.vaccaceps,0.0217,0,0.9783,46
alvordensis,bicolor.columbianus,G.orcuttii,isolatus,0.0737,0.8737,0.0526,95
alvordensis,bicolor.columbianus,G.orcuttii,isolatus,0.0708,0.8761,0.0531,113
alvordensis,bicolor.columbianus,G.orcuttii,Lida.Pond,0.0808,0.8687,0.0505,99
alvordensis,bicolor.columbianus,G.orcuttii,Lida.Pond,0.0722,0.8454,0.0825,97
alvordensis,bicolor.columbianus,G.orcuttii,Little.Fish.Lake.Valley,0.0714,0.8333,0.0952,84
alvordensis,bicolor.columbianus,G.orcuttii,Little.Fish.Lake.Valley,0.0577,0.8558,0.0865,104
alvordensis,bicolor.columbianus,G.orcuttii,McNett.Ranch,0.0435,0.8696,0.087,92
alvordensis,bicolor.columbianus,G.orcuttii,McNett.Ranch,0.0841,0.8785,0.0374,107
alvordensis,bicolor.columbianus,G.orcuttii,mohavensis,0.0706,0.9059,0.0235,85
alvordensis,bicolor.columbianus,G.orcuttii,mohavensis,0.0568,0.8864,0.0568,88
alvordensis,bicolor.columbianus,G.orcuttii,newarkensis,0.0602,0.9277,0.012,83
alvordensis,bicolor.columbianus,G.orcuttii,newarkensis,0.0673,0.8942,0.0385,104
alvordensis,bicolor.columbianus,G.orcuttii,obesus.lahontan,0.0909,0.8864,0.0227,88
alvordensis,bicolor.columbianus,G.orcuttii,obesus.lahontan,0.1196,0.837,0.0435,92
alvordensis,bicolor.columbianus,G.orcuttii,obesus.snyderi,0.0779,0.8831,0.039,77
alvordensis,bicolor.columbianus,G.orcuttii,obesus.snyderi,0.0312,0.9375,0.0312,64
alvordensis,bicolor.columbianus,G.orcuttii,obesus.toikona,0.0395,0.9211,0.0395,76
alvordensis,bicolor.columbianus,G.orcuttii,obesus.toikona,0.0225,0.9438,0.0337,89
alvordensis,bicolor.columbianus,G.orcuttii,P.macrolepidotus,0.3929,0.4286,0.1786,28
alvordensis,bicolor.columbianus,G.orcuttii,P.macrolepidotus,0.4839,0.3226,0.1935,31
alvordensis,bicolor.columbianus,G.orcuttii,Railroad.Valley,0.0941,0.8588,0.0471,85
alvordensis,bicolor.columbianus,G.orcuttii,Railroad.Valley,0.011,0.9121,0.0769,91
alvordensis,bicolor.columbianus,G.orcuttii,thalassinus,0.0278,0.9306,0.0417,72
alvordensis,bicolor.columbianus,G.orcuttii,thalassinus,0.0316,0.9368,0.0316,95
alvordensis,bicolor.columbianus,G.orcuttii,thalassinus.vaccaceps,0.0488,0.9431,0.0081,123
alvordensis,bicolor.columbianus,G.orcuttii,thalassinus.vaccaceps,0.0381,0.9238,0.0381,105
alvordensis,bicolor.columbianus,isolatus,Lida.Pond,0.367,0.3119,0.3211,109
alvordensis,bicolor.columbianus,isolatus,Lida.Pond,0.375,0.3125,0.3125,96
alvordensis,bicolor.columbianus,isolatus,Little.Fish.Lake.Valley,0.3973,0.3151,0.2877,73
alvordensis,bicolor.columbianus,isolatus,Little.Fish.Lake.Valley,0.3906,0.2812,0.3281,64
alvordensis,bicolor.columbianus,isolatus,McNett.Ranch,0.3761,0.3028,0.3211,109
alvordensis,bicolor.columbianus,isolatus,McNett.Ranch,0.3423,0.2883,0.3694,111
alvordensis,bicolor.columbianus,isolatus,mohavensis,0.2985,0.403,0.2985,67
alvordensis,bicolor.columbianus,isolatus,mohavensis,0.3086,0.3457,0.3457,81
alvordensis,bicolor.columbianus,isolatus,newarkensis,0.6727,0.2,0.1273,55
alvordensis,bicolor.columbianus,isolatus,newarkensis,0.6429,0.1714,0.1857,70
alvordensis,bicolor.columbianus,isolatus,obesus.lahontan,0.3692,0.3538,0.2769,65
alvordensis,bicolor.columbianus,isolatus,obesus.lahontan,0.3585,0.2642,0.3774,53
alvordensis,bicolor.columbianus,isolatus,obesus.snyderi,0.3333,0.3467,0.32,75
alvordensis,bicolor.columbianus,isolatus,obesus.snyderi,0.2923,0.3231,0.3846,65
alvordensis,bicolor.columbianus,isolatus,obesus.toikona,0.25,0.3088,0.4412,68
alvordensis,bicolor.columbianus,isolatus,obesus.toikona,0.2603,0.3562,0.3836,73
alvordensis,bicolor.columbianus,isolatus,P.macrolepidotus,0.1562,0.0625,0.7812,64
alvordensis,bicolor.columbianus,isolatus,P.macrolepidotus,0.1509,0.0377,0.8113,53
alvordensis,bicolor.columbianus,isolatus,Railroad.Valley,0.3659,0.3659,0.2683,82
alvordensis,bicolor.columbianus,isolatus,Railroad.Valley,0.4225,0.3239,0.2535,71
alvordensis,bicolor.columbianus,isolatus,thalassinus,0.22,0.44,0.34,50
alvordensis,bicolor.columbianus,isolatus,thalassinus,0.2542,0.2712,0.4746,59
alvordensis,bicolor.columbianus,isolatus,thalassinus.vaccaceps,0.1964,0.5714,0.2321,56
alvordensis,bicolor.columbianus,isolatus,thalassinus.vaccaceps,0.2941,0.5294,0.1765,68
alvordensis,bicolor.columbianus,Lida.Pond,Little.Fish.Lake.Valley,0.4747,0.2525,0.2727,99
alvordensis,bicolor.columbianus,Lida.Pond,Little.Fish.Lake.Valley,0.451,0.2745,0.2745,102
alvordensis,bicolor.columbianus,Lida.Pond,McNett.Ranch,0.9661,0.0339,0,118
alvordensis,bicolor.columbianus,Lida.Pond,McNett.Ranch,0.9396,0.047,0.0134,149
alvordensis,bicolor.columbianus,Lida.Pond,mohavensis,0.4198,0.2963,0.284,81
alvordensis,bicolor.columbianus,Lida.Pond,mohavensis,0.4675,0.2857,0.2468,77
alvordensis,bicolor.columbianus,Lida.Pond,newarkensis,0.3488,0.3721,0.2791,86
alvordensis,bicolor.columbianus,Lida.Pond,newarkensis,0.375,0.375,0.25,72
alvordensis,bicolor.columbianus,Lida.Pond,obesus.lahontan,0.5493,0.2113,0.2394,71
alvordensis,bicolor.columbianus,Lida.Pond,obesus.lahontan,0.4828,0.2529,0.2644,87
alvordensis,bicolor.columbianus,Lida.Pond,obesus.snyderi,0.3953,0.2907,0.314,86
alvordensis,bicolor.columbianus,Lida.Pond,obesus.snyderi,0.4189,0.2568,0.3243,74
alvordensis,bicolor.columbianus,Lida.Pond,obesus.toikona,0.378,0.2561,0.3659,82
alvordensis,bicolor.columbianus,Lida.Pond,obesus.toikona,0.4468,0.2766,0.2766,94
alvordensis,bicolor.columbianus,Lida.Pond,P.macrolepidotus,0.1098,0.1463,0.7439,82
alvordensis,bicolor.columbianus,Lida.Pond,P.macrolepidotus,0.1467,0.0933,0.76,75
alvordensis,bicolor.columbianus,Lida.Pond,Railroad.Valley,0.4051,0.3291,0.2658,79
alvordensis,bicolor.columbianus,Lida.Pond,Railroad.Valley,0.4235,0.2824,0.2941,85
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus,0.2787,0.4426,0.2787,61
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus,0.2381,0.3333,0.4286,84
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus.vaccaceps,0.2464,0.4493,0.3043,69
alvordensis,bicolor.columbianus,Lida.Pond,thalassinus.vaccaceps,0.1932,0.5682,0.2386,88
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,McNett.Ranch,0.4643,0.2857,0.25,84
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,McNett.Ranch,0.4737,0.2632,0.2632,114
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,mohavensis,0.3662,0.3239,0.3099,71
alvordensis,bicolor.columbianus,Little.Fish.Lake.Valley,mohavensis,0.4022,0.3261,0.2717,92
