t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,genes
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0.0067,0,0.0203,0.0067,0,0.0197,0.9866,0.9682,1,149
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0.0076,0,0.023305,0.0076,0,0.02291,0.9848,0.9645,1,132
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.0175,0,0.0508,0.0351,0,0.0794,0.9474,0.8936,0.9861,57
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.1,0.0417,0.1618,0.0286,0,0.0635,0.8714,0.807675,0.93555,70
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0,0,0,0.0357,0,0.07943,0.9643,0.92057,1,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.1111,0.05321,0.17587,0.0617,0.022675,0.10941,0.8272,0.7558,0.8971,81
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.0426,0,0.098,0,0,0,0.9574,0.902,1,47
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.1154,0.0465,0.1915,0.0192,0,0.0577,0.8654,0.787125,0.94233,52
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.1154,0.058095,0.178125,0.0769,0.029685,0.1316,0.8077,0.729645,0.8765,78
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.0417,0,0.0952,0,0,0,0.9583,0.9048,1,48
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.1224,0.0435,0.203115,0.0408,0,0.09262,0.8367,0.7447,0.927365,49
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.1026,0.027,0.1892,0,0,0,0.8974,0.8108,0.973,39
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.1159,0.054075,0.179175,0.029,0,0.0658,0.8551,0.785655,0.92597,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.125,0.0615,0.2,0.0781,0.029875,0.13564,0.7969,0.7049,0.87722,64
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.lahontan,0.0909,0.0244,0.1667,0.0682,0.017185,0.13893,0.8409,0.749755,0.9286,44
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.lahontan,0.1622,0.0667,0.2647,0.0811,0.0222,0.162995,0.7568,0.6341,0.875,37
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.0536,0.015185,0.109115,0.0536,0.0156,0.1053,0.8929,0.81537,0.956545,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0,0,0,0,0,0,1,1,1,49
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.toikona,0.0435,0,0.0877,0.0435,0.011785,0.0909699999999999,0.913,0.85529,0.9667,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.toikona,0.1207,0.05355,0.2,0.0345,0,0.0784,0.8448,0.763555,0.9219,58
alvordensis,bicolor.columbianus,bicolor.eurysomas,P.macrolepidotus,0.0247,0,0.058135,0,0,0,0.9753,0.941865,1,81
alvordensis,bicolor.columbianus,bicolor.eurysomas,P.macrolepidotus,0,0,0,0,0,0,1,1,1,102
alvordensis,bicolor.columbianus,bicolor.eurysomas,Railroad.Valley,0.125,0.05355,0.2,0.0179,0,0.0484,0.8571,0.78171,0.93106,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,Railroad.Valley,0.1481,0.0769,0.2353,0.037,0,0.07845,0.8148,0.72057,0.898,54
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus,0.1176,0.052535,0.1846,0.0441,0.0125,0.0886,0.8382,0.76247,0.9114,68
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus,0.1385,0.07269,0.2121,0.0308,0,0.0727949999999999,0.8308,0.75379,0.9,65
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus.vaccaceps,0.16,0.0784,0.256435,0.12,0.0536,0.20017,0.72,0.6087,0.8222,50
alvordensis,bicolor.columbianus,bicolor.eurysomas,thalassinus.vaccaceps,0.1463,0.06117,0.2439,0.0244,0,0.0714,0.8293,0.725,0.9211,41
alvordensis,bicolor.columbianus,G.orcuttii,isolatus,0.1058,0.05679,0.15562,0.8654,0.809095,0.92234,0.0288,0,0.0588,104
alvordensis,bicolor.columbianus,G.orcuttii,isolatus,0.0674,0.0235,0.1125,0.8764,0.819055,0.93142,0.0562,0.02129,0.0978,89
alvordensis,bicolor.columbianus,G.orcuttii,Lida.Pond,0.0826,0.0426,0.128825,0.844,0.78298,0.900935,0.0734,0.034485,0.1171,109
alvordensis,bicolor.columbianus,G.orcuttii,Lida.Pond,0.0841,0.045,0.1333,0.8411,0.781785,0.896615,0.0748,0.035955,0.118315,107
alvordensis,bicolor.columbianus,G.orcuttii,Little.Fish.Lake.Valley,0.0594,0.021085,0.102,0.8614,0.805075,0.918915,0.0792,0.03848,0.125,101
alvordensis,bicolor.columbianus,G.orcuttii,Little.Fish.Lake.Valley,0.0114,0,0.0341,0.9091,0.85703,0.958805,0.0795,0.0337,0.1282,88
alvordensis,bicolor.columbianus,G.orcuttii,McNett.Ranch,0.0571,0.02609,0.09801,0.8667,0.80988,0.9174,0.0762,0.0385,0.1188,105
alvordensis,bicolor.columbianus,G.orcuttii,McNett.Ranch,0.09,0.047195,0.13981,0.84,0.7778,0.898015,0.07,0.029085,0.1134,100
alvordensis,bicolor.columbianus,G.orcuttii,mohavensis,0.0337,0.009895,0.066735,0.9326,0.883,0.97305,0.0337,0.009995,0.0714,89
alvordensis,bicolor.columbianus,G.orcuttii,mohavensis,0.0617,0.023,0.105925,0.9259,0.8765,0.9726,0.0123,0,0.03572,81
alvordensis,bicolor.columbianus,G.orcuttii,newarkensis,0.0521,0.01827,0.0899,0.9167,0.86998,0.9615,0.0312,0,0.0625,96
alvordensis,bicolor.columbianus,G.orcuttii,newarkensis,0.051,0.0194,0.0909,0.9082,0.86019,0.953715,0.0408,0.010095,0.0755,98
alvordensis,bicolor.columbianus,G.orcuttii,obesus.lahontan,0.12,0.057975,0.187585,0.8533,0.7838,0.9167,0.0267,0,0.058835,75
alvordensis,bicolor.columbianus,G.orcuttii,obesus.lahontan,0.0704,0.027,0.125,0.8592,0.7895,0.92215,0.0704,0.02598,0.1184,71
alvordensis,bicolor.columbianus,G.orcuttii,obesus.snyderi,0.0857,0.0323,0.1486,0.8714,0.799875,0.92961,0.0429,0.0125,0.0847,70
alvordensis,bicolor.columbianus,G.orcuttii,obesus.snyderi,0.0588,0.0198,0.1059,0.8706,0.80718,0.930785,0.0706,0.025,0.114615,85
alvordensis,bicolor.columbianus,G.orcuttii,obesus.toikona,0.0482,0.0125,0.089905,0.9277,0.87669,0.970165,0.0241,0,0.054805,83
alvordensis,bicolor.columbianus,G.orcuttii,obesus.toikona,0.07,0.03,0.114315,0.9,0.8496,0.94552,0.03,0.008395,0.0631,100
alvordensis,bicolor.columbianus,G.orcuttii,P.macrolepidotus,0.5217,0.35,0.6923,0.3478,0.1923,0.500924999999999,0.1304,0.0357,0.2692,23
alvordensis,bicolor.columbianus,G.orcuttii,P.macrolepidotus,0.52,0.3571,0.68192,0.28,0.125,0.4348,0.2,0.0769,0.34791,25
alvordensis,bicolor.columbianus,G.orcuttii,Railroad.Valley,0.0471,0.012295,0.0897,0.8941,0.8353,0.947425,0.0588,0.0208,0.1034,85
