t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,genes
alvordensis,bicolor.columbianus,bicolor.eurysomas,Eagle.Lake,0.1607,0.0833,0.25,0.0536,0,0.114325,0.7857,0.6909,0.871,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,Eagle.Lake,0.1224,0.0507,0.2041,0,0,0,0.8776,0.7959,0.9493,49
alvordensis,bicolor.columbianus,bicolor.eurysomas,Eagle.Lake,0.1304,0.067555,0.20291,0.1014,0.0435,0.16227,0.7681,0.6875,0.8514,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0,0,0,0.0154,0,0.0328,0.9846,0.9672,1,130
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0.0078,0,0.02291,0.0078,0,0.021605,0.9845,0.964995,1,129
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0,0,0,0,0,0,1,1,1,149
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.1045,0.04347,0.164515,0.0149,0,0.0441,0.8806,0.8169,0.946735,67
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.058,0.0152,0.1067,0.0145,0,0.0423,0.9275,0.872655,0.97222,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.0725,0.026,0.12508,0.0435,0,0.0857,0.8841,0.82088,0.9452,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.0152,0,0.0441,0.0152,0,0.0429,0.9697,0.934155,1,66
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.1159,0.058,0.1833,0.087,0.0333,0.14041,0.7971,0.715915,0.872715,69
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.037,0,0.0816849999999999,0,0,0,0.963,0.918315,1,54
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.082,0.02938,0.144915,0.082,0.02898,0.1429,0.8361,0.754385,0.91304,61
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.0833,0.0323,0.14712,0.0667,0.01689,0.123385,0.85,0.7736,0.9206,60
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.1379,0.063785,0.2167,0.069,0.0175,0.13115,0.7931,0.69566,0.8814,58
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Soda.Lake,0.0577,0,0.1154,0.0962,0.0377,0.1667,0.8462,0.763515,0.9302,52
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Soda.Lake,0.0909,0.0238,0.1667,0.0455,0,0.1053,0.8636,0.77072,0.9474,44
