t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,genes
alvordensis,bicolor.columbianus,bicolor.eurysomas,Eagle.Lake,0.1042,0.0208,0.875,48
alvordensis,bicolor.columbianus,bicolor.eurysomas,Eagle.Lake,0.0612,0.0612,0.8776,49
alvordensis,bicolor.columbianus,bicolor.eurysomas,Eagle.Lake,0.12,0.08,0.8,50
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0.0129,0.0129,0.9742,155
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0.0154,0,0.9846,130
alvordensis,bicolor.columbianus,bicolor.eurysomas,G.orcuttii,0.0132,0.0066,0.9801,151
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.1692,0.0462,0.7846,65
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.0972,0.0694,0.8333,72
alvordensis,bicolor.columbianus,bicolor.eurysomas,isolatus,0.1184,0.0789,0.8026,76
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.0656,0.0492,0.8852,61
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.0154,0,0.9846,65
alvordensis,bicolor.columbianus,bicolor.eurysomas,Lida.Pond,0.0741,0.0926,0.8333,54
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.0417,0,0.9583,48
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.0746,0.0746,0.8507,67
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Fish.Lake.Valley,0.0727,0.0182,0.9091,55
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Soda.Lake,0.0244,0,0.9756,41
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Soda.Lake,0.2093,0.093,0.6977,43
alvordensis,bicolor.columbianus,bicolor.eurysomas,Little.Soda.Lake,0.0286,0.0571,0.9143,35
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.0769,0.0615,0.8615,65
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.0357,0.0357,0.9286,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,McNett.Ranch,0.0893,0.0714,0.8393,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.0943,0.0566,0.8491,53
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.0213,0.0426,0.9362,47
alvordensis,bicolor.columbianus,bicolor.eurysomas,mohavensis,0.125,0.0179,0.8571,56
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.1034,0.0345,0.8621,58
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.1091,0.0182,0.8727,55
alvordensis,bicolor.columbianus,bicolor.eurysomas,newarkensis,0.0909,0.0727,0.8364,55
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.0625,0.0625,0.875,64
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.0484,0.0484,0.9032,62
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.snyderi,0.1053,0.0351,0.8596,57
alvordensis,bicolor.columbianus,bicolor.eurysomas,obesus.toikona,0.0921,0.0263,0.8816,76
